STORE_NBR,YEARMONTH,totSales,nCustomers,nTxn,nChips,nTxnPerCust,nChipsPerTxn,avgPricePerUnit
5,201901,772.6,84,108,216,1.2857142857142858,2.0,3.576851851851852
6,201807,241.9,44,47,68,1.0681818181818181,1.446808510638298,3.557352941176471
6,201808,177.6,36,39,56,1.0833333333333333,1.435897435897436,3.1714285714285713
6,201809,192.20000000000002,35,35,53,1.0,1.5142857142857142,3.626415094339623
6,201810,268.9,49,50,75,1.0204081632653061,1.5,3.585333333333333
6,201811,244.70000000000002,48,49,70,1.0208333333333333,1.4285714285714286,3.495714285714286
6,201812,198.7,35,38,53,1.0857142857142856,1.394736842105263,3.749056603773585
6,201901,170.70000000000002,33,35,47,1.0606060606060606,1.3428571428571427,3.631914893617022
7,201807,1004.3,99,118,224,1.1919191919191918,1.8983050847457628,4.4834821428571425
7,201808,1058.7,105,125,240,1.1904761904761905,1.92,4.41125
7,201809,1096.3,107,123,242,1.1495327102803738,1.967479674796748,4.530165289256198
7,201810,972.1,100,115,216,1.15,1.8782608695652174,4.500462962962963
7,201811,1025.5,108,124,238,1.1481481481481481,1.9193548387096775,4.3088235294117645
7,201812,839.8,91,107,200,1.1758241758241759,1.8691588785046729,4.199
7,201901,929.2,100,110,212,1.1,1.9272727272727272,4.3830188679245285
8,201807,361.2,38,41,81,1.0789473684210527,1.975609756097561,4.459259259259259
8,201808,362.6,44,44,83,1.0,1.8863636363636365,4.368674698795181
8,201809,282.8,35,35,68,1.0,1.9428571428571428,4.158823529411765
8,201810,412.6,44,48,96,1.0909090909090908,2.0,4.297916666666667
8,201811,328.8,37,38,76,1.027027027027027,2.0,4.326315789473685
8,201812,336.0,35,38,75,1.0857142857142856,1.9736842105263157,4.48
8,201901,445.0,47,50,100,1.0638297872340425,2.0,4.45
9,201807,271.1,43,46,77,1.069767441860465,1.673913043478261,3.5207792207792212
9,201808,323.4,50,54,93,1.08,1.7222222222222223,3.4774193548387093
9,201809,340.5,50,54,97,1.08,1.7962962962962963,3.5103092783505154
9,201810,330.9,49,50,91,1.0204081632653061,1.82,3.6362637362637362
9,201811,346.3,55,58,100,1.0545454545454545,1.7241379310344827,3.463
9,201812,319.5,48,50,90,1.0416666666666667,1.8,3.55
9,201901,365.7,60,61,108,1.0166666666666666,1.7704918032786885,3.386111111111111
10,201807,829.2,93,112,224,1.2043010752688172,2.0,3.7017857142857147
10,201808,857.75,95,121,233,1.2736842105263158,1.9256198347107438,3.6813304721030042
10,201809,888.0,109,132,264,1.2110091743119267,2.0,3.3636363636363638
10,201810,812.0,86,113,226,1.313953488372093,2.0,3.5929203539823007
10,201811,787.8,89,112,224,1.2584269662921348,2.0,3.5169642857142853
10,201812,894.0,103,128,256,1.2427184466019416,2.0,3.4921875
10,201901,791.2,94,112,224,1.1914893617021276,2.0,3.5321428571428575
12,201807,388.8,44,45,90,1.0227272727272727,2.0,4.32
12,201808,340.4,42,43,81,1.0238095238095237,1.8837209302325582,4.202469135802469
12,201809,387.0,45,46,92,1.0222222222222221,2.0,4.206521739130435
12,201810,382.8,40,43,86,1.075,2.0,4.4511627906976745
12,201811,436.2,47,49,98,1.0425531914893618,2.0,4.451020408163266
12,201812,464.6,50,54,108,1.08,2.0,4.301851851851852
12,201901,441.6,45,49,98,1.0888888888888888,2.0,4.506122448979592
13,201807,754.6,92,112,224,1.2173913043478262,2.0,3.36875
13,201808,709.1,90,104,204,1.1555555555555554,1.9615384615384615,3.475980392156863
13,201809,794.8,92,115,230,1.25,2.0,3.4556521739130432
13,201810,773.6,87,109,218,1.2528735632183907,2.0,3.5486238532110095
13,201811,960.0,110,140,280,1.2727272727272727,2.0,3.4285714285714284
13,201812,841.6,103,126,252,1.2233009708737863,2.0,3.33968253968254
13,201901,836.4,86,117,234,1.3604651162790697,2.0,3.574358974358974
14,201807,36.699999999999996,7,7,13,1.0,1.8571428571428572,2.823076923076923
14,201808,46.800000000000004,8,8,14,1.0,1.75,3.342857142857143
14,201809,36.9,5,5,9,1.0,1.8,4.1
14,201810,42.0,6,6,11,1.0,1.8333333333333333,3.8181818181818183
14,201811,45.0,7,7,13,1.0,1.8571428571428572,3.4615384615384617
14,201812,24.2,5,5,10,1.0,2.0,2.42
14,201901,15.0,2,2,4,1.0,2.0,3.75
15,201807,685.2,80,95,190,1.1875,2.0,3.6063157894736846
15,201808,778.3,100,121,235,1.21,1.9421487603305785,3.311914893617021
15,201809,744.4,81,107,214,1.3209876543209877,2.0,3.4785046728971962
15,201810,784.4,86,108,216,1.255813953488372,2.0,3.6314814814814813
15,201811,591.2,69,85,170,1.2318840579710144,2.0,3.4776470588235298
15,201812,847.4,95,126,252,1.3263157894736841,2.0,3.3626984126984127
15,201901,810.4,91,113,226,1.2417582417582418,2.0,3.5858407079646017
16,201807,99.5,28,29,29,1.0357142857142858,1.0,3.4310344827586206
16,201808,138.9,32,33,37,1.03125,1.121212121212121,3.754054054054054
16,201809,130.9,32,37,38,1.15625,1.027027027027027,3.444736842105263
16,201810,130.5,36,38,38,1.0555555555555556,1.0,3.4342105263157894
16,201811,150.1,40,41,41,1.025,1.0,3.6609756097560973
16,201812,169.1,43,46,49,1.069767441860465,1.065217391304348,3.451020408163265
16,201901,150.7,40,40,40,1.0,1.0,3.7674999999999996
17,201807,450.0,52,53,102,1.0192307692307692,1.9245283018867925,4.411764705882353
17,201808,312.5,36,38,70,1.0555555555555556,1.8421052631578947,4.464285714285714
17,201809,356.6,39,42,79,1.0769230769230769,1.880952380952381,4.5139240506329115
17,201810,300.3,37,37,68,1.0,1.837837837837838,4.416176470588235
17,201811,362.8,38,42,80,1.105263157894737,1.9047619047619047,4.535
17,201812,452.8,47,52,101,1.1063829787234043,1.9423076923076923,4.483168316831684
17,201901,344.2,37,41,79,1.1081081081081081,1.9268292682926829,4.356962025316456
18,201807,271.3,45,46,74,1.0222222222222221,1.608695652173913,3.6662162162162164
18,201808,271.0,47,49,72,1.0425531914893618,1.469387755102041,3.763888888888889
18,201809,238.9,39,43,66,1.1025641025641026,1.5348837209302326,3.6196969696969696
18,201810,315.7,54,58,90,1.0740740740740742,1.5517241379310345,3.5077777777777777
18,201811,252.9,45,47,73,1.0444444444444445,1.553191489361702,3.4643835616438357
18,201812,224.6,32,36,63,1.125,1.75,3.565079365079365
18,201901,238.3,41,42,63,1.024390243902439,1.5,3.782539682539683
19,201807,693.4,80,91,156,1.1375,1.7142857142857142,4.444871794871795
19,201808,697.0,82,95,162,1.1585365853658536,1.7052631578947368,4.302469135802469
19,201809,703.2,76,89,155,1.1710526315789473,1.7415730337078652,4.536774193548387
19,201810,697.2,79,89,156,1.1265822784810127,1.752808988764045,4.469230769230769
19,201811,713.7,83,94,166,1.1325301204819278,1.7659574468085106,4.299397590361446
19,201812,601.3,75,82,139,1.0933333333333333,1.6951219512195121,4.325899280575539
19,201901,935.9,106,119,213,1.1226415094339623,1.7899159663865547,4.393896713615024
20,201807,239.0,48,49,63,1.0208333333333333,1.2857142857142858,3.7936507936507935
20,201808,188.0,38,40,52,1.0526315789473684,1.3,3.6153846153846154
20,201809,205.5,43,45,61,1.0465116279069768,1.3555555555555556,3.3688524590163933
20,201810,162.3,40,40,48,1.0,1.2,3.38125
20,201811,149.1,34,35,43,1.0294117647058822,1.2285714285714286,3.467441860465116
20,201812,155.0,34,35,45,1.0294117647058822,1.2857142857142858,3.4444444444444446
20,201901,175.3,38,41,51,1.0789473684210527,1.2439024390243902,3.4372549019607845
21,201807,368.6,38,42,84,1.105263157894737,2.0,4.3880952380952385
21,201808,499.90000000000003,55,62,115,1.1272727272727272,1.8548387096774193,4.346956521739131
21,201809,372.4,40,45,89,1.125,1.9777777777777779,4.1842696629213485
21,201810,321.2,36,38,76,1.0555555555555556,2.0,4.226315789473684
21,201811,513.6,56,59,118,1.0535714285714286,2.0,4.352542372881356
21,201812,450.2,49,51,102,1.0408163265306123,2.0,4.413725490196079
21,201901,405.0,44,47,94,1.0681818181818181,2.0,4.308510638297872
22,201807,286.1,46,48,89,1.0434782608695652,1.8541666666666667,3.214606741573034
22,201808,191.1,35,35,57,1.0,1.6285714285714286,3.3526315789473684
22,201809,282.1,39,40,76,1.0256410256410255,1.9,3.711842105263158
22,201810,302.9,43,45,84,1.0465116279069768,1.8666666666666667,3.6059523809523806
22,201811,259.5,41,41,77,1.0,1.8780487804878048,3.3701298701298703
22,201812,223.0,34,36,65,1.0588235294117647,1.8055555555555556,3.4307692307692306
22,201901,319.1,46,53,93,1.1521739130434783,1.7547169811320755,3.431182795698925
23,201807,804.4,86,112,224,1.302325581395349,2.0,3.5910714285714285
23,201808,837.6,96,128,240,1.3333333333333333,1.875,3.49
23,201809,645.2,82,97,194,1.1829268292682926,2.0,3.325773195876289
23,201810,743.4,81,103,206,1.271604938271605,2.0,3.60873786407767
23,201811,778.8,89,113,226,1.2696629213483146,2.0,3.446017699115044
23,201812,906.6,94,127,254,1.351063829787234,2.0,3.569291338582677
23,201901,866.2,96,126,252,1.3125,2.0,3.4373015873015875
24,201807,644.0,83,96,192,1.1566265060240963,2.0,3.3541666666666665
24,201808,753.9,87,111,216,1.2758620689655173,1.945945945945946,3.4902777777777776
24,201809,759.0,86,110,220,1.2790697674418605,2.0,3.45
24,201810,789.0,86,112,224,1.302325581395349,2.0,3.5223214285714284
24,201811,619.0,75,88,176,1.1733333333333333,2.0,3.5170454545454546
24,201812,609.4,73,89,178,1.2191780821917808,2.0,3.4235955056179774
24,201901,770.4,94,111,222,1.1808510638297873,2.0,3.4702702702702704
25,201807,394.2,42,45,90,1.0714285714285714,2.0,4.38
25,201808,304.6,31,36,68,1.1612903225806452,1.8888888888888888,4.479411764705882
25,201809,378.2,41,43,86,1.048780487804878,2.0,4.397674418604651
25,201810,456.0,50,53,106,1.06,2.0,4.30188679245283
25,201811,523.6,54,60,120,1.1111111111111112,2.0,4.363333333333333
25,201812,441.6,46,50,100,1.0869565217391304,2.0,4.416
25,201901,413.0,43,45,90,1.0465116279069768,2.0,4.588888888888889
26,201807,1214.4,124,140,280,1.1290322580645162,2.0,4.337142857142857
26,201808,965.3,102,117,223,1.1470588235294117,1.9059829059829059,4.328699551569507
26,201809,1211.8,119,133,266,1.1176470588235294,2.0,4.55563909774436
26,201810,1062.6,103,121,242,1.174757281553398,2.0,4.390909090909091
26,201811,1166.4,108,130,260,1.2037037037037037,2.0,4.486153846153846
26,201812,1215.0,116,137,274,1.1810344827586208,2.0,4.434306569343065
26,201901,1123.0,108,128,256,1.1851851851851851,2.0,4.38671875
27,201807,449.7,49,51,101,1.0408163265306123,1.9803921568627452,4.452475247524752
27,201808,526.9,56,60,118,1.0714285714285714,1.9666666666666666,4.465254237288136
27,201809,405.8,46,47,94,1.0217391304347827,2.0,4.317021276595745
27,201810,316.6,34,36,71,1.0588235294117647,1.9722222222222223,4.4591549295774655
27,201811,362.3,42,42,82,1.0,1.9523809523809523,4.418292682926829
27,201812,369.2,43,43,84,1.0,1.9534883720930232,4.395238095238095
27,201901,373.0,40,42,81,1.05,1.9285714285714286,4.604938271604938
28,201807,722.2,86,103,206,1.197674418604651,2.0,3.505825242718447
28,201808,724.55,95,112,207,1.1789473684210525,1.8482142857142858,3.5002415458937195
28,201809,726.8,76,97,194,1.2763157894736843,2.0,3.746391752577319
28,201810,675.2,86,96,192,1.1162790697674418,2.0,3.516666666666667
28,201811,842.6,95,116,232,1.2210526315789474,2.0,3.631896551724138
28,201812,794.6,98,122,244,1.2448979591836735,2.0,3.2565573770491802
28,201901,759.0,87,108,216,1.2413793103448276,2.0,3.513888888888889
29,201807,288.8,35,35,67,1.0,1.9142857142857144,4.31044776119403
29,201808,361.90000000000003,39,41,80,1.0512820512820513,1.951219512195122,4.523750000000001
29,201809,454.9,46,52,101,1.1304347826086956,1.9423076923076923,4.503960396039604
29,201810,284.8,33,34,66,1.0303030303030303,1.9411764705882353,4.315151515151515
29,201811,317.6,33,37,71,1.121212121212121,1.9189189189189189,4.473239436619719
29,201812,376.0,42,45,87,1.0714285714285714,1.9333333333333333,4.32183908045977
29,201901,434.8,48,52,101,1.0833333333333333,1.9423076923076923,4.304950495049505
30,201807,827.8,88,117,234,1.3295454545454546,2.0,3.5376068376068375
30,201808,873.9,107,128,251,1.1962616822429906,1.9609375,3.481673306772908
30,201809,793.0,91,110,220,1.2087912087912087,2.0,3.6045454545454545
30,201810,798.0,93,114,228,1.2258064516129032,2.0,3.5
30,201811,779.8,86,106,212,1.2325581395348837,2.0,3.6783018867924526
30,201812,918.8,92,121,242,1.315217391304348,2.0,3.796694214876033
30,201901,755.8,89,108,216,1.2134831460674158,2.0,3.499074074074074
32,201807,737.4,87,104,208,1.1954022988505748,2.0,3.5451923076923078
32,201808,719.0,90,106,209,1.1777777777777778,1.971698113207547,3.4401913875598087
32,201809,752.4,82,108,216,1.3170731707317074,2.0,3.4833333333333334
32,201810,951.4,95,133,266,1.4,2.0,3.5766917293233083
32,201811,958.6,104,135,270,1.2980769230769231,2.0,3.5503703703703704
32,201812,879.0,98,127,254,1.2959183673469388,2.0,3.4606299212598426
32,201901,756.6,76,103,206,1.355263157894737,2.0,3.672815533980583
33,201807,1007.8,111,145,290,1.3063063063063063,2.0,3.4751724137931035
33,201808,797.3000000000001,94,119,231,1.2659574468085106,1.9411764705882353,3.4515151515151516
33,201809,854.4,99,117,234,1.1818181818181819,2.0,3.651282051282051
33,201810,865.2,100,121,242,1.21,2.0,3.5752066115702483
33,201811,841.0,96,119,238,1.2395833333333333,2.0,3.533613445378151
33,201812,940.0,98,128,256,1.3061224489795917,2.0,3.671875
33,201901,910.2,98,128,257,1.3061224489795917,2.0078125,3.5416342412451365
34,201807,325.6,37,39,75,1.054054054054054,1.9230769230769231,4.341333333333334
34,201808,313.1,40,41,71,1.025,1.7317073170731707,4.409859154929578
34,201809,311.2,36,37,72,1.0277777777777777,1.945945945945946,4.322222222222222
34,201810,403.9,46,47,89,1.0217391304347827,1.8936170212765957,4.538202247191011
34,201811,323.7,37,41,77,1.1081081081081081,1.8780487804878048,4.203896103896104
34,201812,430.2,49,52,100,1.0612244897959184,1.9230769230769231,4.302
34,201901,341.0,37,39,75,1.054054054054054,1.9230769230769231,4.546666666666667
35,201807,116.1,34,34,34,1.0,1.0,3.414705882352941
35,201808,130.70000000000002,36,36,38,1.0,1.0555555555555556,3.439473684210527
35,201809,108.5,28,29,30,1.0357142857142858,1.0344827586206897,3.6166666666666667
35,201810,115.3,30,30,31,1.0,1.0333333333333334,3.7193548387096773
35,201811,105.60000000000001,29,29,31,1.0,1.0689655172413792,3.406451612903226
35,201812,137.9,33,34,37,1.0303030303030303,1.088235294117647,3.7270270270270274
35,201901,94.4,26,26,26,1.0,1.0,3.630769230769231
36,201807,953.0,98,107,214,1.0918367346938775,2.0,4.453271028037383
36,201808,1032.15,108,125,236,1.1574074074074074,1.888,4.373516949152543
36,201809,908.4,95,103,206,1.0842105263157895,2.0,4.409708737864078
36,201810,1095.8,110,124,248,1.1272727272727272,2.0,4.418548387096774
36,201811,1037.2,96,117,234,1.21875,2.0,4.432478632478633
36,201812,963.8000000000001,94,110,220,1.1702127659574468,2.0,4.380909090909091
36,201901,862.2,85,101,202,1.188235294117647,2.0,4.268316831683168
37,201807,430.8,45,47,92,1.0444444444444445,1.9574468085106382,4.682608695652174
37,201808,527.35,61,64,120,1.0491803278688525,1.875,4.394583333333333
37,201809,352.4,42,42,82,1.0,1.9523809523809523,4.2975609756097555
37,201810,368.0,45,46,90,1.0222222222222221,1.9565217391304348,4.088888888888889
37,201811,244.1,28,29,57,1.0357142857142858,1.9655172413793103,4.282456140350877
37,201812,455.2,49,51,102,1.0408163265306123,2.0,4.462745098039216
37,201901,381.9,39,43,84,1.1025641025641026,1.9534883720930232,4.546428571428571
38,201807,286.2,44,46,73,1.0454545454545454,1.5869565217391304,3.9205479452054792
38,201808,256.2,43,47,71,1.0930232558139534,1.5106382978723405,3.6084507042253517
38,201809,263.2,42,45,73,1.0714285714285714,1.6222222222222222,3.6054794520547944
38,201810,213.4,42,43,65,1.0238095238095237,1.5116279069767442,3.2830769230769232
38,201811,321.4,51,55,90,1.0784313725490196,1.6363636363636365,3.5711111111111107
38,201812,191.2,32,35,56,1.09375,1.6,3.414285714285714
38,201901,285.1,50,54,83,1.08,1.537037037037037,3.434939759036145
39,201807,807.8,91,118,236,1.2967032967032968,2.0,3.422881355932203
39,201808,885.3,98,126,246,1.2857142857142858,1.9523809523809523,3.598780487804878
39,201809,789.4,93,113,226,1.2150537634408602,2.0,3.4929203539823006
39,201810,802.6,89,115,230,1.2921348314606742,2.0,3.4895652173913043
39,201811,800.0,97,115,230,1.1855670103092784,2.0,3.4782608695652173
39,201812,774.2,88,112,224,1.2727272727272727,2.0,3.4562500000000003
39,201901,784.4,89,115,230,1.2921348314606742,2.0,3.4104347826086956
40,201807,1230.0,122,143,286,1.1721311475409837,2.0,4.300699300699301
40,201808,1126.4,118,130,252,1.1016949152542372,1.9384615384615385,4.46984126984127
40,201809,1261.0,131,145,290,1.1068702290076335,2.0,4.348275862068966
40,201810,1201.2,109,134,268,1.2293577981651376,2.0,4.482089552238806
40,201811,997.4,102,112,224,1.0980392156862746,2.0,4.452678571428572
40,201812,1213.0,119,141,282,1.184873949579832,2.0,4.301418439716312
40,201901,1195.2,115,138,276,1.2,2.0,4.3304347826086955
41,201807,184.9,42,42,51,1.0,1.2142857142857142,3.6254901960784314
41,201808,183.8,39,40,51,1.0256410256410255,1.275,3.603921568627451
41,201809,193.1,41,42,53,1.024390243902439,1.2619047619047619,3.6433962264150943
41,201810,133.9,30,33,38,1.1,1.1515151515151516,3.5236842105263158
41,201811,164.0,38,38,49,1.0,1.2894736842105263,3.3469387755102042
41,201812,196.9,41,45,56,1.0975609756097562,1.2444444444444445,3.5160714285714287
41,201901,169.0,36,37,45,1.0277777777777777,1.2162162162162162,3.7555555555555555
42,201807,27.3,7,7,9,1.0,1.2857142857142858,3.033333333333333
42,201808,44.9,8,8,12,1.0,1.5,3.7416666666666667
42,201809,21.2,6,6,8,1.0,1.3333333333333333,2.65
42,201810,14.700000000000001,3,3,4,1.0,1.3333333333333333,3.6750000000000003
42,201811,8.4,2,2,2,1.0,1.0,4.2
42,201812,9.7,3,3,3,1.0,1.0,3.233333333333333
42,201901,32.6,8,8,9,1.0,1.125,3.6222222222222222
43,201807,948.4,112,137,274,1.2232142857142858,2.0,3.4613138686131384
43,201808,869.7,96,131,255,1.3645833333333333,1.9465648854961832,3.4105882352941177
43,201809,932.4,97,128,256,1.3195876288659794,2.0,3.6421875
43,201810,976.4,110,138,276,1.2545454545454546,2.0,3.53768115942029
43,201811,883.2,98,123,246,1.2551020408163265,2.0,3.5902439024390245
43,201812,1208.2,119,162,324,1.361344537815126,2.0,3.7290123456790125
43,201901,937.8000000000001,105,133,266,1.2666666666666666,2.0,3.5255639097744362
45,201807,930.8000000000001,108,136,272,1.2592592592592593,2.0,3.422058823529412
45,201808,615.4,78,94,174,1.205128205128205,1.851063829787234,3.536781609195402
45,201809,647.2,77,91,182,1.1818181818181819,2.0,3.5560439560439563
45,201810,638.4,78,90,180,1.1538461538461537,2.0,3.5466666666666664
45,201811,749.2,81,106,212,1.308641975308642,2.0,3.5339622641509436
45,201812,725.2,82,101,202,1.2317073170731707,2.0,3.59009900990099
45,201901,886.8,98,128,256,1.3061224489795917,2.0,3.4640625
46,201807,203.6,39,40,62,1.0256410256410255,1.55,3.2838709677419353
46,201808,232.5,41,43,63,1.048780487804878,1.4651162790697674,3.6904761904761907
46,201809,217.6,39,41,67,1.0512820512820513,1.6341463414634145,3.2477611940298505
46,201810,262.5,44,45,75,1.0227272727272727,1.6666666666666667,3.5
46,201811,241.9,37,39,65,1.054054054054054,1.6666666666666667,3.7215384615384615
46,201812,290.1,47,50,81,1.0638297872340425,1.62,3.581481481481482
46,201901,160.6,31,31,47,1.0,1.5161290322580645,3.4170212765957446
47,201807,284.3,43,44,84,1.0232558139534884,1.9090909090909092,3.3845238095238095
47,201808,387.05,53,56,100,1.0566037735849056,1.7857142857142858,3.8705000000000003
47,201809,407.8,55,57,109,1.0363636363636364,1.912280701754386,3.741284403669725
47,201810,366.5,45,52,101,1.1555555555555554,1.9423076923076923,3.628712871287129
47,201811,311.9,47,50,96,1.0638297872340425,1.92,3.248958333333333
47,201812,464.6,69,74,141,1.0724637681159421,1.9054054054054055,3.295035460992908
47,201901,363.3,51,53,100,1.0392156862745099,1.8867924528301887,3.633
48,201807,871.4,95,126,252,1.3263157894736841,2.0,3.4579365079365076
48,201808,828.6,96,120,229,1.25,1.9083333333333334,3.618340611353712
48,201809,759.8,85,108,216,1.2705882352941176,2.0,3.5175925925925924
48,201810,807.4,85,116,232,1.3647058823529412,2.0,3.4801724137931034
48,201811,744.4,85,107,214,1.2588235294117647,2.0,3.4785046728971962
48,201812,859.6,83,112,224,1.3493975903614457,2.0,3.8375
48,201901,836.2,101,120,240,1.188118811881188,2.0,3.484166666666667
49,201807,1053.8,101,122,242,1.2079207920792079,1.9836065573770492,4.3545454545454545
49,201808,779.5,81,90,179,1.1111111111111112,1.988888888888889,4.354748603351955
49,201809,1044.3,101,120,238,1.188118811881188,1.9833333333333334,4.38781512605042
49,201810,1016.4,93,116,231,1.2473118279569892,1.9913793103448276,4.3999999999999995
49,201811,985.4,96,112,224,1.1666666666666667,2.0,4.399107142857143
49,201812,1077.9,111,122,243,1.0990990990990992,1.9918032786885247,4.435802469135803
49,201901,1107.0,111,128,251,1.1531531531531531,1.9609375,4.410358565737051
50,201807,306.6,51,54,83,1.0588235294117647,1.537037037037037,3.693975903614458
50,201808,282.1,50,53,83,1.06,1.5660377358490567,3.398795180722892
50,201809,253.6,45,49,70,1.0888888888888888,1.4285714285714286,3.6228571428571428
50,201810,229.20000000000002,42,45,68,1.0714285714285714,1.511111111111111,3.370588235294118
50,201811,212.5,34,35,55,1.0294117647058822,1.5714285714285714,3.8636363636363638
50,201812,309.9,59,64,91,1.0847457627118644,1.421875,3.4054945054945054
50,201901,195.0,37,39,55,1.054054054054054,1.4102564102564104,3.5454545454545454
51,201807,111.0,27,30,32,1.1111111111111112,1.0666666666666667,3.46875
51,201808,189.7,35,38,51,1.0857142857142856,1.3421052631578947,3.7196078431372546
51,201809,150.6,35,38,43,1.0857142857142856,1.131578947368421,3.5023255813953487
51,201810,126.7,28,29,34,1.0357142857142858,1.1724137931034482,3.726470588235294
51,201811,154.9,38,39,45,1.0263157894736843,1.1538461538461537,3.4422222222222225
51,201812,163.0,39,42,49,1.0769230769230769,1.1666666666666667,3.326530612244898
51,201901,157.3,32,34,41,1.0625,1.2058823529411764,3.836585365853659
52,201807,17.5,3,3,5,1.0,1.6666666666666667,3.5
52,201808,40.3,7,7,13,1.0,1.8571428571428572,3.0999999999999996
52,201809,25.799999999999997,4,4,7,1.0,1.75,3.6857142857142855
52,201810,34.3,5,5,8,1.0,1.6,4.2875
52,201811,33.0,6,6,12,1.0,2.0,2.75
52,201812,47.8,6,6,12,1.0,2.0,3.983333333333333
52,201901,42.2,6,6,10,1.0,1.6666666666666667,4.220000000000001
53,201807,204.1,38,39,63,1.0263157894736843,1.6153846153846154,3.2396825396825397
53,201808,234.6,43,45,70,1.0465116279069768,1.5555555555555556,3.3514285714285714
53,201809,168.0,34,35,51,1.0294117647058822,1.457142857142857,3.2941176470588234
53,201810,208.0,37,39,61,1.054054054054054,1.564102564102564,3.4098360655737703
53,201811,203.3,42,43,58,1.0238095238095237,1.3488372093023255,3.5051724137931037
53,201812,294.8,51,53,79,1.0392156862745099,1.490566037735849,3.7316455696202535
53,201901,150.4,27,27,41,1.0,1.5185185185185186,3.6682926829268294
54,201807,470.6,46,51,102,1.108695652173913,2.0,4.613725490196079
54,201808,363.8,40,42,82,1.05,1.9523809523809523,4.4365853658536585
54,201809,466.40000000000003,48,52,104,1.0833333333333333,2.0,4.484615384615385
54,201810,421.6,49,50,100,1.0204081632653061,2.0,4.216
54,201811,463.40000000000003,55,57,113,1.0363636363636364,1.9824561403508771,4.100884955752213
54,201812,427.6,43,48,96,1.1162790697674418,2.0,4.454166666666667
54,201901,548.8,58,61,122,1.0517241379310345,2.0,4.498360655737705
55,201807,826.6,94,118,236,1.2553191489361701,2.0,3.502542372881356
55,201808,852.3,98,127,248,1.2959183673469388,1.952755905511811,3.4366935483870966
55,201809,1003.2,111,139,278,1.2522522522522523,2.0,3.60863309352518
55,201810,959.6,100,136,272,1.36,2.0,3.527941176470588
55,201811,705.4,79,101,202,1.2784810126582278,2.0,3.492079207920792
55,201812,745.2,87,111,222,1.2758620689655173,2.0,3.356756756756757
55,201901,956.0,111,134,268,1.2072072072072073,2.0,3.5671641791044775
56,201807,647.6,81,88,176,1.0864197530864197,2.0,3.6795454545454547
56,201808,589.8,75,93,181,1.24,1.946236559139785,3.258563535911602
56,201809,649.2,73,93,186,1.273972602739726,2.0,3.4903225806451617
56,201810,804.8,92,114,228,1.2391304347826086,2.0,3.5298245614035086
